step,depth,i
252,18,1.88276e-05
252,19,7.33219e-07
253,14,1.18112e-07
253,15,2.27794e-06
253,16,1.71077e-05
253,17,5.92961e-05
253,18,1.95775e-05
253,19,8.16728e-07
254,14,1.09404e-07
254,15,2.1724e-06
254,16,1.68173e-05
254,17,6.00206e-05
254,18,2.0366e-05
254,19,8.52989e-07
255,14,1.01337e-07
255,15,2.07171e-06
255,16,1.65411e-05
255,17,6.07022e-05
255,18,2.11632e-05
255,19,9.22175e-07
256,14,1.3e-07
256,15,1.97563e-06
256,16,1.62691e-05
256,17,6.13902e-05
256,18,2.20408e-05
256,19,9.80829e-07
257,14,1.20409e-07
257,15,1.88397e-06
257,16,1.59911e-05
257,17,6.20846e-05
257,18,2.29201e-05
257,19,1.04319e-06
258,14,1.11523e-07
258,15,1.79652e-06
258,16,1.57173e-05
258,17,6.28055e-05
258,18,2.38428e-05
258,19,1.11948e-06
259,14,1.03291e-07
259,15,1.71308e-06
259,16,1.54575e-05
259,17,6.35331e-05
259,18,2.47396e-05
259,19,1.21059e-06
260,14,8e-08
260,15,1.63348e-06
260,16,1.52017e-05
260,17,6.42673e-05
260,18,2.56811e-05
260,19,1.29746e-06
261,14,9e-08
261,15,1.55754e-06
261,16,1.49496e-05
261,17,6.49983e-05
261,18,2.67186e-05
261,19,1.3898e-06
262,14,1.2e-07
262,15,1.4851e-06
262,16,1.47013e-05
262,17,6.57359e-05
262,18,2.77537e-05
262,19,1.47796e-06
263,14,1.11133e-07
263,15,1.41599e-06
263,16,1.44467e-05
263,17,6.64901e-05
263,18,2.88077e-05
263,19,1.59167e-06
264,14,1.02919e-07
264,15,1.35006e-06
264,16,1.4176e-05
264,17,6.7231e-05
264,18,2.99218e-05
264,19,1.69191e-06
265,14,1e-07
265,15,1.28716e-06
265,16,1.39293e-05
265,17,6.79684e-05
265,18,3.11397e-05
265,19,1.80845e-06
266,14,5e-08
266,15,1.22717e-06
266,16,1.36963e-05
266,17,6.87422e-05
266,18,3.23419e-05
266,19,1.91232e-06
267,14,1e-08
267,15,1.16994e-06
267,16,1.34368e-05
267,17,6.95327e-05
267,18,3.35795e-05
267,19,2.05334e-06
268,15,1.11535e-06
268,16,1.32013e-05
268,17,7.03199e-05
268,18,3.48334e-05
268,19,2.19321e-06
269,15,1.06327e-06
269,16,1.29693e-05
269,17,7.11139e-05
269,18,3.61861e-05
269,19,2.33186e-06
270,15,1.0136e-06
270,16,1.27408e-05
270,17,7.19345e-05
270,18,3.75493e-05
270,19,2.5092e-06
271,15,9.66226e-07
271,16,1.25257e-05
271,17,7.2712e-05
271,18,3.90232e-05
271,19,2.67765e-06
272,15,9.21037e-07
272,16,1.23139e-05
272,17,7.35358e-05
272,18,4.04718e-05
272,19,2.87665e-06
273,15,8.77936e-07
273,16,1.20952e-05
273,17,7.43762e-05
273,18,4.20148e-05
273,19,3.07749e-06
274,15,8.36828e-07
274,16,1.18699e-05
274,17,7.52134e-05
274,18,4.36048e-05
274,19,3.30088e-06
275,15,7.9762e-07
275,16,1.16679e-05
275,17,7.60073e-05
275,18,4.53132e-05
275,19,3.5176e-06
276,15,7.60226e-07
276,16,1.1469e-05
